20;               Andorra;Both sexes combined;;    65;    67;    70;    73;    76;    79;    81;    83;    84;    84;    84;    84;    82;    81;    79;    78;    77;    77;    77;    77;    77
70;               Bosnia and Herzegovina;Both sexes combined;;   3 751;   3 756;   3 759;   3 762;   3 764;   3 765;   3 765;   3 763;   3 754;   3 736;   3 705;   3 661;   3 605;   3 543;   3 482;   3 429;   3 386;   3 352;   3 324;   3 301;   3 281
191;               Croatia;Both sexes combined;;   4 428;   4 408;   4 396;   4 389;   4 384;   4 378;   4 371;   4 362;   4 353;   4 341;   4 328;   4 313;   4 296;   4 277;   4 256;   4 233;   4 209;   4 183;   4 156;   4 130;   4 105
292;               Gibraltar;Both sexes combined;;    31;    32;    32;    33;    33;    33;    33;    34;    34;    34;    34;    34;    34;    34;    34;    34;    34;    34;    34;    34;    34
300;               Greece;Both sexes combined;;   11 082;   11 134;   11 182;   11 219;   11 235;   11 225;   11 185;   11 120;   11 040;   10 959;   10 888;   10 829;   10 781;   10 741;   10 701;   10 660;   10 615;   10 569;   10 522;   10 473;   10 423
336;               Holy See;Both sexes combined;;    1;    1;    1;    1;    1;    1;    1;    1;    1;    1;    1;    1;    1;    1;    1;    1;    1;    1;    1;    1;    1
380;               Italy;Both sexes combined;;   56 692;   56 875;   57 183;   57 565;   57 948;   58 281;   58 543;   58 748;   58 922;   59 106;   59 325;   59 589;   59 879;   60 167;   60 410;   60 578;   60 663;   60 674;   60 627;   60 550;   60 462
470;               Malta;Both sexes combined;;    394;    396;    399;    401;    403;    405;    406;    408;    409;    412;    414;    418;    422;    426;    430;    434;    436;    438;    439;    440;    442
499;               Montenegro;Both sexes combined;;    614;    613;    613;    614;    615;    616;    618;    620;    621;    623;    624;    625;    626;    626;    627;    627;    627;    628;    628;    628;    628
807;               North Macedonia;Both sexes combined;;   2 035;   2 043;   2 049;   2 053;   2 057;   2 060;   2 063;   2 065;   2 067;   2 069;   2 071;   2 072;   2 074;   2 076;   2 078;   2 079;   2 081;   2 082;   2 083;   2 083;   2 083
620;               Portugal;Both sexes combined;;   10 297;   10 341;   10 386;   10 430;   10 471;   10 508;   10 543;   10 573;   10 595;   10 604;   10 596;   10 569;   10 526;   10 473;   10 418;   10 368;   10 326;   10 289;   10 256;   10 226;   10 197
674;               San Marino;Both sexes combined;;    27;    28;    28;    29;    29;    29;    30;    30;    30;    31;    31;    32;    32;    33;    33;    33;    34;    34;    34;    34;    34
688;               Serbia;Both sexes combined;25;   9 488;   9 411;   9 346;   9 292;   9 243;   9 194;   9 146;   9 101;   9 060;   9 023;   8 991;   8 964;   8 940;   8 919;   8 898;   8 877;   8 854;   8 830;   8 803;   8 772;   8 737
705;               Slovenia;Both sexes combined;;   1 988;   1 987;   1 987;   1 988;   1 990;   1 995;   2 002;   2 012;   2 023;   2 034;   2 043;   2 051;   2 058;   2 063;   2 067;   2 071;   2 074;   2 076;   2 078;   2 079;   2 079
724;               Spain;Both sexes combined;26;   40 825;   41 319;   41 920;   42 596;   43 308;   44 019;   44 729;   45 429;   46 069;   46 584;   46 931;   47 084;   47 063;   46 931;   46 778;   46 672;   46 634;   46 647;   46 693;   46 737;   46 755
40;               Austria;Both sexes combined;;   8 069;   8 098;   8 134;   8 176;   8 217;   8 254;   8 285;   8 314;   8 342;   8 373;   8 410;   8 454;   8 502;   8 556;   8 615;   8 679;   8 747;   8 820;   8 891;   8 955;   9 006
56;               Belgium;Both sexes combined;;   10 282;   10 319;   10 365;   10 419;   10 480;   10 547;   10 619;   10 698;   10 779;   10 860;   10 939;   11 014;   11 085;   11 154;   11 221;   11 288;   11 354;   11 420;   11 482;   11 539;   11 590
250;               France;Both sexes combined;27;   59 015;   59 384;   59 803;   60 252;   60 698;   61 120;   61 509;   61 869;   62 209;   62 543;   62 880;   63 222;   63 564;   63 894;   64 194;   64 453;   64 668;   64 843;   64 991;   65 130;   65 274
276;               Germany;Both sexes combined;;   81 401;   81 454;   81 535;   81 614;   81 646;   81 603;   81 472;   81 278;   81 066;   80 900;   80 827;   80 856;   80 973;   81 174;   81 450;   81 787;   82 194;   82 658;   83 124;   83 517;   83 784
438;               Liechtenstein;Both sexes combined;;    33;    34;    34;    34;    34;    35;    35;    35;    35;    36;    36;    36;    37;    37;    37;    37;    38;    38;    38;    38;    38
442;               Luxembourg;Both sexes combined;;    436;    440;    444;    447;    452;    458;    466;    475;    485;    497;    508;    519;    531;    543;    555;    567;    579;    592;    604;    616;    626
492;               Monaco;Both sexes combined;;    32;    32;    33;    33;    33;    34;    34;    35;    35;    35;    36;    36;    36;    37;    37;    38;    38;    38;    39;    39;    39
528;               Netherlands;Both sexes combined;28;   15 926;   16 018;   16 110;   16 201;   16 287;   16 367;   16 440;   16 507;   16 568;   16 626;   16 683;   16 738;   16 792;   16 844;   16 893;   16 938;   16 981;   17 021;   17 060;   17 097;   17 135
756;               Switzerland;Both sexes combined;;   7 144;   7 179;   7 220;   7 268;   7 324;   7 387;   7 458;   7 537;   7 623;   7 714;   7 809;   7 907;   8 008;   8 109;   8 206;   8 297;   8 380;   8 456;   8 526;   8 591;   8 655
